Report 20200508221400

- 2020-05-07 23:51:47.0 -
Humidity:47.3256 | time: 2020-05-07 23:51:47.0
Humidity:43.1404 | time: 2020-05-07 23:26:31.0
Humidity:46.7388 | time: 2020-05-07 23:00:00.0
Humidity:47.3294 | time: 2020-05-07 22:00:00.0
Humidity:35.344 | time: 2020-05-07 21:00:00.0
Humidity:47.5773 | time: 2020-05-07 20:07:53.0
Humidity:49.0706 | time: 2020-05-07 20:00:00.0
Humidity:38.8805 | time: 2020-05-07 19:00:00.0
Humidity:42.27 | time: 2020-05-07 18:00:00.0
Humidity:39.3608 | time: 2020-05-07 17:00:00.0
Humidity:44.3006 | time: 2020-05-07 16:00:00.0
Humidity:44.4452 | time: 2020-05-07 15:00:00.0
Humidity:38.7998 | time: 2020-05-07 14:00:00.0
Humidity:37.6077 | time: 2020-05-07 13:00:00.0
Humidity:42.0293 | time: 2020-05-07 12:00:00.0
Humidity:41.9543 | time: 2020-05-07 11:00:00.0
Humidity:47.6303 | time: 2020-05-07 10:00:00.0
Humidity:37.2221 | time: 2020-05-07 09:00:00.0
Humidity:50.931 | time: 2020-05-07 08:00:00.0
Humidity:49.391 | time: 2020-05-07 07:00:00.0
Humidity:40.7822 | time: 2020-05-07 06:00:00.0
Humidity:46.8882 | time: 2020-05-07 05:00:00.0
Humidity:50.7637 | time: 2020-05-07 04:00:00.0
Humidity:45.1844 | time: 2020-05-07 03:00:00.0
Humidity:47.2915 | time: 2020-05-07 02:00:00.0
Humidity:38.5738 | time: 2020-05-07 01:00:00.0
Humidity:43.6748 | time: 2020-05-07 00:00:00.0

 - 2020-05-06 23:00:00.0 -
Humidity:49.2296 | time: 2020-05-06 23:00:00.0
Humidity:37.789 | time: 2020-05-06 22:00:00.0
Humidity:47.6296 | time: 2020-05-06 21:00:00.0
Humidity:39.2629 | time: 2020-05-06 20:00:00.0
Humidity:38.7859 | time: 2020-05-06 19:00:00.0
Humidity:45.6914 | time: 2020-05-06 18:00:00.0
Humidity:50.2879 | time: 2020-05-06 17:00:00.0
Humidity:35.3904 | time: 2020-05-06 16:00:00.0
Humidity:47.1127 | time: 2020-05-06 15:00:00.0
Humidity:46.8808 | time: 2020-05-06 14:00:00.0
Humidity:45.8639 | time: 2020-05-06 13:00:00.0
Humidity:40.133 | time: 2020-05-06 12:00:00.0
Humidity:36.214 | time: 2020-05-06 11:00:00.0
Humidity:48.3908 | time: 2020-05-06 10:00:00.0
Humidity:41.7274 | time: 2020-05-06 09:00:00.0
Humidity:37.083 | time: 2020-05-06 07:00:00.0
Humidity:35.7576 | time: 2020-05-06 06:00:00.0
Humidity:48.3817 | time: 2020-05-06 05:00:00.0
Humidity:41.0767 | time: 2020-05-06 04:00:00.0
Humidity:43.3504 | time: 2020-05-06 03:00:00.0
Humidity:50.3366 | time: 2020-05-06 02:00:00.0
Humidity:43.7478 | time: 2020-05-06 01:00:00.0
Humidity:44.6956 | time: 2020-05-06 00:00:00.0

 - 2020-05-05 23:00:00.0 -
Humidity:35.2566 | time: 2020-05-05 23:00:00.0
Humidity:40.0226 | time: 2020-05-05 22:00:00.0
Humidity:40.0201 | time: 2020-05-05 21:00:00.0
Humidity:44.4997 | time: 2020-05-05 20:00:00.0
Humidity:36.3851 | time: 2020-05-05 19:00:00.0
Humidity:49.4553 | time: 2020-05-05 18:00:00.0
Humidity:35.2254 | time: 2020-05-05 17:00:00.0
Humidity:45.8216 | time: 2020-05-05 16:00:00.0
Humidity:41.6074 | time: 2020-05-05 15:00:00.0
Humidity:44.9318 | time: 2020-05-05 14:00:00.0
Humidity:50.8816 | time: 2020-05-05 13:00:00.0
Humidity:42.5555 | time: 2020-05-05 12:00:00.0
Humidity:49.2074 | time: 2020-05-05 11:00:00.0
Humidity:36.8865 | time: 2020-05-05 10:00:00.0
Humidity:46.9197 | time: 2020-05-05 09:00:00.0
Humidity:47.6598 | time: 2020-05-05 08:00:00.0
