Report 20200508215556

- 2020-05-07 23:51:47.0 -
Temperature:21.0 | time: 2020-05-07 23:51:47.0
Temperature:22.2399 | time: 2020-05-07 23:26:31.0
Temperature:23.2427 | time: 2020-05-07 23:00:00.0
Temperature:24.5826 | time: 2020-05-07 22:00:00.0
Temperature:23.4045 | time: 2020-05-07 21:00:00.0
Temperature:21.7062 | time: 2020-05-07 20:07:53.0
Temperature:24.3681 | time: 2020-05-07 20:00:00.0
Temperature:23.9788 | time: 2020-05-07 19:00:00.0
Temperature:23.718 | time: 2020-05-07 18:00:00.0
Temperature:22.7496 | time: 2020-05-07 17:00:00.0
Temperature:23.3455 | time: 2020-05-07 16:00:00.0
Temperature:24.2652 | time: 2020-05-07 15:00:00.0
Temperature:24.1593 | time: 2020-05-07 14:00:00.0
Temperature:23.5023 | time: 2020-05-07 13:00:00.0
Temperature:23.8224 | time: 2020-05-07 12:00:00.0
Temperature:24.5468 | time: 2020-05-07 11:00:00.0
Temperature:23.3481 | time: 2020-05-07 10:00:00.0
Temperature:24.2572 | time: 2020-05-07 09:00:00.0
Temperature:23.9085 | time: 2020-05-07 08:00:00.0
Temperature:22.922 | time: 2020-05-07 07:00:00.0
Temperature:22.8075 | time: 2020-05-07 06:00:00.0
Temperature:22.0892 | time: 2020-05-07 05:00:00.0
Temperature:22.8129 | time: 2020-05-07 04:00:00.0
Temperature:23.4663 | time: 2020-05-07 03:00:00.0
Temperature:23.404 | time: 2020-05-07 02:00:00.0
Temperature:24.1225 | time: 2020-05-07 01:00:00.0
Temperature:24.1016 | time: 2020-05-07 00:00:00.0

 - 2020-05-06 23:00:00.0 -
Temperature:24.5735 | time: 2020-05-06 23:00:00.0
Temperature:22.2828 | time: 2020-05-06 22:00:00.0
Temperature:23.213 | time: 2020-05-06 21:00:00.0
Temperature:23.094 | time: 2020-05-06 20:00:00.0
Temperature:22.3563 | time: 2020-05-06 19:00:00.0
Temperature:22.3554 | time: 2020-05-06 18:00:00.0
Temperature:23.8593 | time: 2020-05-06 17:00:00.0
Temperature:22.2629 | time: 2020-05-06 16:00:00.0
Temperature:22.2255 | time: 2020-05-06 15:00:00.0
Temperature:24.0618 | time: 2020-05-06 14:00:00.0
Temperature:24.767 | time: 2020-05-06 13:00:00.0
Temperature:22.4636 | time: 2020-05-06 12:00:00.0
Temperature:23.055 | time: 2020-05-06 11:00:00.0
Temperature:22.9491 | time: 2020-05-06 10:00:00.0
Temperature:23.5137 | time: 2020-05-06 09:00:00.0
Temperature:24.854 | time: 2020-05-06 07:00:00.0
Temperature:23.3886 | time: 2020-05-06 06:00:00.0
Temperature:24.5116 | time: 2020-05-06 05:00:00.0
Temperature:22.3477 | time: 2020-05-06 04:00:00.0
Temperature:24.5949 | time: 2020-05-06 03:00:00.0
Temperature:22.5101 | time: 2020-05-06 02:00:00.0
Temperature:24.9256 | time: 2020-05-06 01:00:00.0
Temperature:22.0024 | time: 2020-05-06 00:00:00.0

 - 2020-05-05 23:00:00.0 -
Temperature:23.7954 | time: 2020-05-05 23:00:00.0
Temperature:23.1504 | time: 2020-05-05 22:00:00.0
Temperature:24.3872 | time: 2020-05-05 21:00:00.0
Temperature:22.1831 | time: 2020-05-05 20:00:00.0
Temperature:23.6179 | time: 2020-05-05 19:00:00.0
Temperature:22.3055 | time: 2020-05-05 18:00:00.0
Temperature:22.2491 | time: 2020-05-05 17:00:00.0
Temperature:23.6296 | time: 2020-05-05 16:00:00.0
Temperature:23.6384 | time: 2020-05-05 15:00:00.0
Temperature:24.2354 | time: 2020-05-05 14:00:00.0
Temperature:24.7407 | time: 2020-05-05 13:00:00.0
Temperature:24.9368 | time: 2020-05-05 12:00:00.0
Temperature:22.0384 | time: 2020-05-05 11:00:00.0
Temperature:24.9966 | time: 2020-05-05 10:00:00.0
Temperature:22.7279 | time: 2020-05-05 09:00:00.0
Temperature:23.3848 | time: 2020-05-05 08:00:00.0
Temperature:24.7985 | time: 2020-05-05 07:00:00.0
